date,state,parlimen,dun,sex,age,ethnicity,population
2023-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,21.2
2023-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,citizen,overall,19.8
2023-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,noncitizen,overall,1.3
2023-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.7
2023-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.5
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,overall,overall,21.5
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,citizen,overall,19.7
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,both,noncitizen,overall,1.7
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,female,overall,overall,10.9
2024-01-01,Perlis,P.003 Arau,N.12 Tambun Tulang,male,overall,overall,10.6
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,overall,12.2
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,citizen,12.1
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,noncitizen,0.1
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,female,overall,overall,6.1
2020-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,male,overall,overall,6.0
2021-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,overall,overall,12.3
2021-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,citizen,overall,12.2
2021-01-01,Perlis,P.003 Arau,N.13 Guar Sanji,both,noncitizen,overall,0.1
