state,date,age_group,fertility_rate
Melaka,2006-01-01,25-29,163.0
Melaka,2006-01-01,30-34,146.0
Melaka,2006-01-01,35-39,71.0
Melaka,2006-01-01,40-44,20.0
Melaka,2006-01-01,45-49,1.0
Melaka,2006-01-01,tfr,2.36
Melaka,2007-01-01,15-19,7.0
Melaka,2007-01-01,20-24,62.0
Melaka,2007-01-01,25-29,167.0
Melaka,2007-01-01,30-34,152.0
Melaka,2007-01-01,35-39,71.0
Melaka,2007-01-01,40-44,18.0
Melaka,2007-01-01,45-49,2.0
Melaka,2007-01-01,tfr,2.4
Melaka,2008-01-01,15-19,7.0
Melaka,2008-01-01,20-24,60.0
Melaka,2008-01-01,25-29,159.0
Melaka,2008-01-01,30-34,156.0
Melaka,2008-01-01,35-39,72.0
Melaka,2008-01-01,40-44,18.0
Melaka,2008-01-01,45-49,1.0
Melaka,2008-01-01,tfr,2.36
Melaka,2009-01-01,15-19,6.0
Melaka,2009-01-01,20-24,57.0
Melaka,2009-01-01,25-29,153.0
Melaka,2009-01-01,30-34,150.0
Melaka,2009-01-01,35-39,69.0
Melaka,2009-01-01,40-44,16.0
Melaka,2009-01-01,45-49,1.0
Melaka,2009-01-01,tfr,2.26
Melaka,2010-01-01,15-19,6.0
Melaka,2010-01-01,20-24,49.0
Melaka,2010-01-01,25-29,148.0
Melaka,2010-01-01,30-34,141.0
Melaka,2010-01-01,35-39,66.0
Melaka,2010-01-01,40-44,14.0
Melaka,2010-01-01,45-49,1.0
Melaka,2010-01-01,tfr,2.12
Melaka,2011-01-01,15-19,7.0
Melaka,2011-01-01,20-24,47.0
Melaka,2011-01-01,25-29,151.0
Melaka,2011-01-01,30-34,148.0
Melaka,2011-01-01,35-39,77.0
Melaka,2011-01-01,40-44,15.0
Melaka,2011-01-01,45-49,1.0
Melaka,2011-01-01,tfr,2.23
Melaka,2012-01-01,15-19,8.0
Melaka,2012-01-01,20-24,42.0
Melaka,2012-01-01,25-29,147.0
Melaka,2012-01-01,30-34,151.0
Melaka,2012-01-01,35-39,80.0
Melaka,2012-01-01,40-44,17.0
Melaka,2012-01-01,45-49,1.0
Melaka,2012-01-01,tfr,2.23
Melaka,2013-01-01,15-19,7.0
Melaka,2013-01-01,20-24,38.0
Melaka,2013-01-01,25-29,138.0
Melaka,2013-01-01,30-34,140.0
Melaka,2013-01-01,35-39,74.0
Melaka,2013-01-01,40-44,16.0
Melaka,2013-01-01,45-49,1.0
Melaka,2013-01-01,tfr,2.06
Melaka,2014-01-01,15-19,7.0
Melaka,2014-01-01,20-24,36.0
Melaka,2014-01-01,25-29,138.0
Melaka,2014-01-01,30-34,146.0
Melaka,2014-01-01,35-39,80.0
Melaka,2014-01-01,40-44,17.0
Melaka,2014-01-01,45-49,1.0
Melaka,2014-01-01,tfr,2.13
Melaka,2015-01-01,15-19,7.0
Melaka,2015-01-01,20-24,34.0
Melaka,2015-01-01,25-29,129.0
Melaka,2015-01-01,30-34,141.0
Melaka,2015-01-01,35-39,80.0
Melaka,2015-01-01,40-44,18.0
Melaka,2015-01-01,45-49,1.0
