date,percentile,variable,income
2022-01-01,74,median,10208.0
2022-01-01,75,median,10445.0
2022-01-01,76,median,10657.0
2022-01-01,77,median,10907.0
2022-01-01,78,median,11154.0
2022-01-01,79,median,11413.0
2022-01-01,80,median,11675.0
2022-01-01,81,median,11963.0
2022-01-01,82,median,12251.0
2022-01-01,83,median,12554.0
2022-01-01,84,median,12926.0
2022-01-01,85,median,13301.0
2022-01-01,86,median,13661.0
2022-01-01,87,median,14066.0
2022-01-01,88,median,14528.0
2022-01-01,89,median,15019.0
2022-01-01,90,median,15575.0
2022-01-01,91,median,16189.0
2022-01-01,92,median,16922.0
2022-01-01,93,median,17779.0
2022-01-01,94,median,18843.0
2022-01-01,95,median,20112.0
2022-01-01,96,median,21585.0
2022-01-01,97,median,23745.0
2022-01-01,98,median,26557.0
2022-01-01,99,median,32157.0
2022-01-01,100,median,62585.0
2022-01-01,1,minimum,
2022-01-01,2,minimum,1304.0
2022-01-01,3,minimum,1547.0
2022-01-01,4,minimum,1723.0
2022-01-01,5,minimum,1877.0
2022-01-01,6,minimum,2012.0
2022-01-01,7,minimum,2134.0
2022-01-01,8,minimum,2246.0
2022-01-01,9,minimum,2357.0
2022-01-01,10,minimum,2459.0
2022-01-01,11,minimum,2559.0
2022-01-01,12,minimum,2657.0
2022-01-01,13,minimum,2749.0
2022-01-01,14,minimum,2846.0
2022-01-01,15,minimum,2944.0
2022-01-01,16,minimum,3034.0
2022-01-01,17,minimum,3117.0
2022-01-01,18,minimum,3200.0
2022-01-01,19,minimum,3280.0
2022-01-01,20,minimum,3359.0
2022-01-01,21,minimum,3440.0
2022-01-01,22,minimum,3522.0
2022-01-01,23,minimum,3609.0
2022-01-01,24,minimum,3696.0
2022-01-01,25,minimum,3783.0
2022-01-01,26,minimum,3874.0
2022-01-01,27,minimum,3966.0
2022-01-01,28,minimum,4052.0
2022-01-01,29,minimum,4140.0
2022-01-01,30,minimum,4225.0
2022-01-01,31,minimum,4313.0
2022-01-01,32,minimum,4403.0
2022-01-01,33,minimum,4488.0
2022-01-01,34,minimum,4582.0
2022-01-01,35,minimum,4674.0
2022-01-01,36,minimum,4764.0
2022-01-01,37,minimum,4864.0
2022-01-01,38,minimum,4958.0
2022-01-01,39,minimum,5052.0
2022-01-01,40,minimum,5150.0
2022-01-01,41,minimum,5251.0
2022-01-01,42,minimum,5352.0
2022-01-01,43,minimum,5457.0
2022-01-01,44,minimum,5566.0
2022-01-01,45,minimum,5664.0
2022-01-01,46,minimum,5770.0
2022-01-01,47,minimum,5876.0
2022-01-01,48,minimum,5991.0
2022-01-01,49,minimum,6115.0
2022-01-01,50,minimum,6228.0
2022-01-01,51,minimum,6338.0
2022-01-01,52,minimum,6452.0
2022-01-01,53,minimum,6582.0
2022-01-01,54,minimum,6709.0
2022-01-01,55,minimum,6840.0
2022-01-01,56,minimum,6979.0
2022-01-01,57,minimum,7115.0
2022-01-01,58,minimum,7254.0
2022-01-01,59,minimum,7392.0
2022-01-01,60,minimum,7544.0
2022-01-01,61,minimum,7694.0
2022-01-01,62,minimum,7850.0
2022-01-01,63,minimum,8011.0
2022-01-01,64,minimum,8181.0
2022-01-01,65,minimum,8339.0
2022-01-01,66,minimum,8523.0
2022-01-01,67,minimum,8697.0
2022-01-01,68,minimum,8875.0
2022-01-01,69,minimum,9054.0
2022-01-01,70,minimum,9260.0
2022-01-01,71,minimum,9449.0
2022-01-01,72,minimum,9659.0
2022-01-01,73,minimum,9880.0
2022-01-01,74,minimum,10094.0
2022-01-01,75,minimum,10318.0
2022-01-01,76,minimum,10552.0
2022-01-01,77,minimum,10776.0
2022-01-01,78,minimum,11038.0
2022-01-01,79,minimum,11283.0
2022-01-01,80,minimum,11539.0
2022-01-01,81,minimum,11819.0
2022-01-01,82,minimum,12104.0
2022-01-01,83,minimum,12395.0
2022-01-01,84,minimum,12733.0
2022-01-01,85,minimum,13113.0
2022-01-01,86,minimum,13475.0
2022-01-01,87,minimum,13859.0
2022-01-01,88,minimum,14304.0
2022-01-01,89,minimum,14766.0
2022-01-01,90,minimum,15300.0
2022-01-01,91,minimum,15868.0
