date,state,type,staff
2016-01-01,Pulau Pinang,doctor,1939
2017-01-01,Pulau Pinang,doctor,2581
2018-01-01,Pulau Pinang,doctor,2741
2019-01-01,Pulau Pinang,doctor,2543
2020-01-01,Pulau Pinang,doctor,3158
2021-01-01,Pulau Pinang,doctor,3024
2022-01-01,Pulau Pinang,doctor,2996
2014-01-01,Pulau Pinang,nurse,2993
2015-01-01,Pulau Pinang,nurse,3393
2016-01-01,Pulau Pinang,nurse,3542
2017-01-01,Pulau Pinang,nurse,3593
2018-01-01,Pulau Pinang,nurse,3531
2019-01-01,Pulau Pinang,nurse,3599
2020-01-01,Pulau Pinang,nurse,6081
2021-01-01,Pulau Pinang,nurse,3816
2022-01-01,Pulau Pinang,nurse,3846
2014-01-01,Pulau Pinang,nurse_community,1028
2015-01-01,Pulau Pinang,nurse_community,1042
2016-01-01,Pulau Pinang,nurse_community,1012
2017-01-01,Pulau Pinang,nurse_community,975
2018-01-01,Pulau Pinang,nurse_community,959
2019-01-01,Pulau Pinang,nurse_community,948
2020-01-01,Pulau Pinang,nurse_community,924
2021-01-01,Pulau Pinang,nurse_community,859
2022-01-01,Pulau Pinang,nurse_community,919
2014-01-01,Sabah,all,12817
2015-01-01,Sabah,all,13772
2016-01-01,Sabah,all,14084
2017-01-01,Sabah,all,14368
2018-01-01,Sabah,all,15072
2019-01-01,Sabah,all,15432
2020-01-01,Sabah,all,13669
2021-01-01,Sabah,all,16125
2022-01-01,Sabah,all,16345
2014-01-01,Sabah,dentist,244
2015-01-01,Sabah,dentist,280
2016-01-01,Sabah,dentist,308
2017-01-01,Sabah,dentist,309
2018-01-01,Sabah,dentist,327
2019-01-01,Sabah,dentist,375
2020-01-01,Sabah,dentist,401
2021-01-01,Sabah,dentist,453
2022-01-01,Sabah,dentist,426
2014-01-01,Sabah,doctor,2112
2015-01-01,Sabah,doctor,2558
2016-01-01,Sabah,doctor,2685
2017-01-01,Sabah,doctor,3205
2018-01-01,Sabah,doctor,4006
2019-01-01,Sabah,doctor,4212
2020-01-01,Sabah,doctor,3916
2021-01-01,Sabah,doctor,4317
2022-01-01,Sabah,doctor,4193
2014-01-01,Sabah,nurse,6547
2015-01-01,Sabah,nurse,7012
2016-01-01,Sabah,nurse,7217
2017-01-01,Sabah,nurse,7187
2018-01-01,Sabah,nurse,7115
2019-01-01,Sabah,nurse,7192
2020-01-01,Sabah,nurse,5888
2021-01-01,Sabah,nurse,8212
2022-01-01,Sabah,nurse,8151
2014-01-01,Sabah,nurse_community,3914
2015-01-01,Sabah,nurse_community,3922
2016-01-01,Sabah,nurse_community,3874
2017-01-01,Sabah,nurse_community,3667
2018-01-01,Sabah,nurse_community,3624
2019-01-01,Sabah,nurse_community,3653
2020-01-01,Sabah,nurse_community,3464
2021-01-01,Sabah,nurse_community,3143
2022-01-01,Sabah,nurse_community,3575
2014-01-01,Sarawak,all,10921
2015-01-01,Sarawak,all,11090
2016-01-01,Sarawak,all,12152
2017-01-01,Sarawak,all,13190
2018-01-01,Sarawak,all,12446
2019-01-01,Sarawak,all,12373
2020-01-01,Sarawak,all,15138
2021-01-01,Sarawak,all,12725
2022-01-01,Sarawak,all,13374
2014-01-01,Sarawak,dentist,302
2015-01-01,Sarawak,dentist,309
2016-01-01,Sarawak,dentist,359
2017-01-01,Sarawak,dentist,404
2018-01-01,Sarawak,dentist,407
2019-01-01,Sarawak,dentist,421
2020-01-01,Sarawak,dentist,439
2021-01-01,Sarawak,dentist,450
2022-01-01,Sarawak,dentist,441
2014-01-01,Sarawak,doctor,2250
2015-01-01,Sarawak,doctor,2203
2016-01-01,Sarawak,doctor,3061
2017-01-01,Sarawak,doctor,4179
2018-01-01,Sarawak,doctor,3672
2019-01-01,Sarawak,doctor,3567
2020-01-01,Sarawak,doctor,4137
2021-01-01,Sarawak,doctor,3656
2022-01-01,Sarawak,doctor,4005
2014-01-01,Sarawak,nurse,5216
2015-01-01,Sarawak,nurse,5584
2016-01-01,Sarawak,nurse,5705
2017-01-01,Sarawak,nurse,5782
2018-01-01,Sarawak,nurse,5740
2019-01-01,Sarawak,nurse,5805
2020-01-01,Sarawak,nurse,8163
2021-01-01,Sarawak,nurse,6606
2022-01-01,Sarawak,nurse,6645
2014-01-01,Sarawak,nurse_community,3153
2015-01-01,Sarawak,nurse_community,2994
2016-01-01,Sarawak,nurse_community,3027
2017-01-01,Sarawak,nurse_community,2825
2018-01-01,Sarawak,nurse_community,2627
2019-01-01,Sarawak,nurse_community,2580
2020-01-01,Sarawak,nurse_community,2399
2021-01-01,Sarawak,nurse_community,2013
2022-01-01,Sarawak,nurse_community,2283
2014-01-01,Selangor,all,15450
2015-01-01,Selangor,all,16474
2016-01-01,Selangor,all,17510
2017-01-01,Selangor,all,19883
2018-01-01,Selangor,all,20882
2019-01-01,Selangor,all,20624
2020-01-01,Selangor,all,16461
2021-01-01,Selangor,all,23001
2022-01-01,Selangor,all,24009
2014-01-01,Selangor,dentist,360
2015-01-01,Selangor,dentist,401
2016-01-01,Selangor,dentist,469
2017-01-01,Selangor,dentist,660
2018-01-01,Selangor,dentist,776
2019-01-01,Selangor,dentist,839
2020-01-01,Selangor,dentist,911
2021-01-01,Selangor,dentist,940
2022-01-01,Selangor,dentist,941
2014-01-01,Selangor,doctor,5040
2015-01-01,Selangor,doctor,5175
2016-01-01,Selangor,doctor,5646
2017-01-01,Selangor,doctor,7587
2018-01-01,Selangor,doctor,7881
2019-01-01,Selangor,doctor,8119
2020-01-01,Selangor,doctor,10063
2021-01-01,Selangor,doctor,9700
2022-01-01,Selangor,doctor,10374
2014-01-01,Selangor,nurse,7327
2015-01-01,Selangor,nurse,8183
2016-01-01,Selangor,nurse,8739
2017-01-01,Selangor,nurse,9086
2018-01-01,Selangor,nurse,9698
2019-01-01,Selangor,nurse,9200
2020-01-01,Selangor,nurse,3093
2021-01-01,Selangor,nurse,10116
2022-01-01,Selangor,nurse,10376
2014-01-01,Selangor,nurse_community,2723
2015-01-01,Selangor,nurse_community,2715
2016-01-01,Selangor,nurse_community,2656
2017-01-01,Selangor,nurse_community,2550
2018-01-01,Selangor,nurse_community,2527
2019-01-01,Selangor,nurse_community,2466
2020-01-01,Selangor,nurse_community,2394
2021-01-01,Selangor,nurse_community,2245
2022-01-01,Selangor,nurse_community,2318
2014-01-01,Terengganu,all,5510
2015-01-01,Terengganu,all,5719
2016-01-01,Terengganu,all,5964
2017-01-01,Terengganu,all,6431
2018-01-01,Terengganu,all,6582
2019-01-01,Terengganu,all,6826
2020-01-01,Terengganu,all,11544
2021-01-01,Terengganu,all,7140
2022-01-01,Terengganu,all,7438
2014-01-01,Terengganu,dentist,232
2015-01-01,Terengganu,dentist,261
2016-01-01,Terengganu,dentist,303
2017-01-01,Terengganu,dentist,370
2018-01-01,Terengganu,dentist,448
2019-01-01,Terengganu,dentist,493
2020-01-01,Terengganu,dentist,521
2021-01-01,Terengganu,dentist,550
2022-01-01,Terengganu,dentist,524
2014-01-01,Terengganu,doctor,1278
2015-01-01,Terengganu,doctor,1262
2016-01-01,Terengganu,doctor,1399
2017-01-01,Terengganu,doctor,1691
2018-01-01,Terengganu,doctor,1805
